no.,type,Diagnostic Metric,Description,Per Page/Site/Post,Executive/ DIY (AIV),AIO,AIVisualize Free,AIV Pro,AIV Enteprise,AIOptimize Free,AIO Pro,AIO Ent,AISocialize
18,ai-context.md/github,ai-context.md creation/monitoring from github,create/continously monitor and help modify the ai-context.md with existing content in github,Site,offered as upgrade when reviewing ai-context.md,should include email notifications,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X (Headless browser),X (Headless browser),
19,CanonicalURL,HasCanonical and CanonicalURL analysis (per page),,Page,DIY,,X,X,X,,,,X
20,CDN/EDGE Firewll,CDN/Edge Firewall fixing blocks based on providers,,Site,upgrade from CDN blocking check,X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X,
21,CDN/EDGE Firewll,CDN/EdgeFirewall Blocking check,,Site,"EXEC-DIY (for both show as red, green)",,X,,,X,,,
22,Cloudflare workaround,Cloudflare based alt markdown setup,,Site,just indicative line to upgrade,X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X,
23,Cloudflare workaround,Cloudflare based alt markdown file creation,,Site,just indicative line to upgrade,X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X,
24,Cloudflare workaround,Cloud-flare based alt markedown maintenance,,Site,just indicative line to upgrade,X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X,
25,docs.md,docs.md creation/updates,"monitors and notifies users about updates that needs to be made to the doc.md file based on media posts, changes to website, github etc.",Site,offered as upgrade when reviewing docs.md,X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X (Headless browser),X (Headless browser),Upgrade to AIO Pro hook
26,docs.md,docs.md simple sample,,Site,DIY,,Upgrade to AIV Pro hook,X,X,,,,X
27,docs.md,docs.md check,,Site,EXEC-DIY,,X,X,X,,,,X
28,Heavy page analysis,Heavy page analysis:  too much markup notification,,Page,DIY,,X,X,X,,,,
29,Heavy page analysis,Heavy page analysis: heavy client side rendering notification,,Page,DIY,,X,X,X,,,,
30,Heavy page analysis/ ai-bot readibility,Heavy page analysis: using puppeteer to source content,This is to show content that is being missed by ai-bots due to the page being too heavy. Would use a headless browser - very premium,Page,,offered as upgrade when reviewing heavy-page/Client rendering,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X (Shows number of pages that are too heavy),X (Headless browser),X (Headless browser),
31,HTML Structure Analysis,Title existence along with count (per page),,Page,DIY,,X,X,X,,,,
32,HTML Structure Analysis,Title length optimization (per page),75-125 characters is the sweetspot,Page,DIY,,X,X,X,,,,
33,HTML Structure Analysis,Meta Description & Description Length(per page),193 characters(plus or minus 20) for the AI Sweet spot,Page,DIY,,X,X,X,,,,
34,HTML Structure Analysis,Headings Hierarchy analysis (per page),"confirms number of H1, H2, H3 etc.  Ideal is only one and only 1 H1 per page, and multiple H2s. ",,,,X,,,,,,
35,Internal Links,Internal Links analysis - valid and accessible(Per page),pulls all the links from individual pages and follows them through to see if they exist,Page,Upgrade from Internal links analysis-count(36) - DIY,,Upgrade to AIV Pro hook,X,X,,,,
36,Internal Links,Internal Links analysis - count(Per page),pulls all the links on the individual pages and shows a count,Page,DIY,,X,,,,,,
37,JSON-LD Schema,JSON-LD Schema creation/modification(per page),,Page,,offered as upgrade when reviewing JSON-LD schema,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,"X (shows if JSON-LD exists, and what might be missing)",X (Headless browser),X (Headless browser),
38,JSON-LD Schema,JSON-LD Schema workarounds,,Page,,offered as upgrade when reviewing JSON-LD schema,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,"X (shows if JSON-LD exists, and what might be missing)",X (Headless browser),X (Headless browser),
39,JSON-LD Schema,JSON-LD Schema availability and existence (per page),,Page,EXEC(homepage)-DIY(per page),,X,X,X,,,,
40,llms.txt,llms.txt creation/modification,,Site,,offered as upgrade when reviewing llms.txt,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X,Upgrade to AIO Pro hook
41,llms.txt,llms.txt addition based on providers,,Site,,offered as upgrade when reviewing llms.txt,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X,Upgrade to AIO Pro hook
42,llms.txt,llms.txt file availability and existence,,Site,EXEC-DIY,,X,X,X,,,,X
43,llms.txt,llms.txt AI-bot and User-Agent status,,Site,"EXEC(only for Gemini,ChatGPT,Copilot,Perplexity and Claude)-DIY(lists all bots that have access to the file)",,X,X,X,,,,X
44,llms.txt,llms.txt simple sample - if file does not exist,,Site,DIY,,X,X,X,,,,X
45,llms.txt,llms.txt updates from social posts,,Post,,,,,,,,,X
46,llms.txt,llms.txt updates from public sources like news reports,,Post,,,,,,,,,X
47,llms.txt,llms.txt updates from reddit and other forums,,Post,,,,,,,,,X
48,llms.txt/about.md,about.md mention in llms.txt,,Site,EXEC-DIY,,X,X,X,,,,
49,llms.txt/ai-context.md,ai-context.md mention in llms.txt,,Site,EXEC-DIY,,X,X,X,,,,
50,llms.txt/docs.md,docs.md mention in llms.txt,,Site,"EXEC(only for Gemini,ChatGPT,Copilot,Perplexity and Claude)-DIY(lists all bots that have access to the file)",,X,X,X,,,,X
51,llms.txt/README.md,README.md mention in llms.txt,,Site,offered as upgrade when reviewing ai-context.md,should include email notifications,X,X,X,,,,
52,Page Level EEAT,Experience analysis: Experience Indicators,"This metric tracks the frequency of explicit linguistic signs indicating first-hand human involvement, real-world testing, operational implementation, or case observations.",Page,DIY(only mention as upgrade for Page Level EEAT),,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,"X (shows count, upgrade for headless browser)",X (Headless browser),X (Headless browser),
53,Page Level EEAT,Experience analysis: Media Count,The absolute count of valid rich media elements—specifically embedded graphics (<img> elements) and video assets (<video> frames or nested iframes)—rendered inside the target page layout.,Page,DIY(only mention as upgrade for Page Level EEAT),,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,"X (shows count, upgrade for headless browser)",X (Headless browser),X (Headless browser),
54,Page Level EEAT,Expertise analysis: has Author Info,"Before verifying expertise, the tool must check for an explicit author identity node in the HTML text.",Page,DIY(only mention as upgrade for Page Level EEAT),,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,"X (shows count, upgrade for headless browser)",X (Headless browser),X (Headless browser),X
55,Page Level EEAT,Expertise analysis: credential Mentions,"An identity statement like ""Written by Jane Doe"" answers the identity question, but it doesn't prove expertise to an AI model. To establish trust, the text must include clear Credential Mentions near that name.",Page,DIY(only mention as upgrade for Page Level EEAT),,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,"X (shows count, upgrade for headless browser)",X (Headless browser),X (Headless browser),X
56,Page Level EEAT,Authoritativeness analysis:  external Links (Valid per page),The backend string engine scans the entire page DOM for outbound hypermedia anchors (<a> tags) and evaluates their absolute destinations.,Page,DIY(only mention as upgrade for Page Level EEAT),,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X(list of links),X(Validate links),X(Validate Links),X
57,Page Level EEAT,Authoritativeness analysis:  authority Links(Valid per page),The tool checks if your content references trusted pillars of global knowledge—the exact locations AI engines use to double-check facts. - Premium,Page,DIY(only mention as upgrade for Page Level EEAT),,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X(list of links),X(Validate links),X(Validate Links),X
58,Page Level EEAT,trustworthiness analysis: is Secure(how to Fix),"option to upgrade to SSL, or move to cloudlfare",Site,DIY(only mention as upgrade for Page Level EEAT),,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X (SSL upgrade or Cloudflare suggestion),X (SSL upgrade or Cloudflare guided),X (SSL upgrade or Cloudflare guided),
59,Page Level EEAT,trustworthiness analysis: has Contact Info(how to optimize),,Site,DIY(only mention as upgrade for Page Level EEAT),,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X (listed contact info),X (Headless browser) - hidden contact info,X (Headless browser) - hidden contact info,
60,Page Level EEAT,trustworthiness analysis: has Privacy Policy(templatized sample per country),,Site,DIY(only mention as upgrade for Page Level EEAT),,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X (sample privacy info),X (monitoring and per country sample),X (monitoring and per country sample),
61,Page Level EEAT,trustworthiness analysis: is Secure(check),"If a website lacks a valid transport encryption layer, automated scrapers flag the domain as unsafe, immediately dropping its passages from active retrieval consideration.",Site,EXEC(yes/no)-DIY(Details),,X,X,X,,,,
62,Page Level EEAT,trustworthiness analysis: has Contact Info(check),"An anonymous site with zero explicit ownership, touchpoint data, or communication anchors is heavily penalized by algorithm re-rankers to prevent the spread of fabricated or unverified corporate profiles.",Site,EXEC-DIY(contact info pulled),,X,X,X,,,,
63,Page Level EEAT,trustworthiness analysis: has Privacy Policy,verifying that a domain openly outlines its regulatory data governance practices before displaying its text snippets as authoritative source citations.,Site,EXEC(Yes/no)-DIY(details/link),,X,X,X,,,,
64,Page Level EEAT,Authoritativeness analysis:  external Links (scan per page),The backend string engine scans the entire page DOM for outbound hypermedia anchors (<a> tags) ,Page,DIY,,X (upto 3 pages),X(upto 40 pages),X,,,,
65,Page Level EEAT,Authoritativeness analysis:  last Updated,The tool verifies that the page explicitly states its modification history in a machine-readable format.,Page,DIY,,X (upto 3 pages),X(upto 40 pages),X,,,,X
66,QA Patterns,FAQ Schema recommendation (per page),,Page,DIY(mention as upgrade from HasFAQSchema),X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X (shows content count without headless browser),X (Headless browser),X (Headless browser),
67,QA Patterns,Question Count (not correctly formatted)(Per page),"Count of explicity grammatically framed interrogative strings  (Why, How, What, Can I) exist outside of headings (## H2, ### H3) ",Page,DIY(only mention as upgrade for Answer/Qurtion parity ratio(72)),X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X (shows content count without headless browser),X (Headless browser),X (Headless browser),
68,QA Patterns,Answer corrections (Per page),,Page,DIY(only mention as upgrade for Answer/Qurtion parity ratio(72)),X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X (shows content count without headless browser),X (Headless browser),X (Headless browser),
69,QA Patterns,Has FAQ Schema (yes/no) (per page),"Confirms if there is a valid JSON-LD FAQ schema existing on the page.  If yes, then the Question count and Answer count will source the data from those forms.",Page,EXEC-DIY,,X (upto 3 pages),X(upto 40 pages),X,,,,
70,QA Patterns,Question Count (correctly formatted) (Per page),"how many explicit, grammatically framed interrogative strings (Why, How, What, Can I) exist within your headings (## H2, ### H3) or JSON-LD schema formatted.  More questions the better",Page,EXEC(homepage)-DIY(per page),,X (upto 3 pages),X(upto 40 pages),X,,,,
71,QA Patterns,Answer Count (correctly formatted) (Per page),"how many explicit, JSON-LD Schema formatted answers or lines after grammatically framed interrogative strings (Why, How, What, Can I) exist within your headings (## H2, ### H3).  Questions and answers counts should match.",Page,EXEC(homepage)-DIY(per page),,X (upto 3 pages),X(upto 40 pages),X,,,,
72,QA Patterns,Answer/Question parity ratio(Per page)," - Ratio == 1.00 ???> [ PASS ] ?? DOM Injection Secure
- Ratio < 1.00  ???> [ WARNING ] ?? Layout Extraction Leak (Some answers are hidden)
- Ratio == 0.00 ???> [ CRITICAL FAIL ] ?? Ghost Answer Trap (Questions exist, but bots see 0 answers)",Page,EXEC(homepage)-DIY(per page),,X (upto 3 pages),X(upto 40 pages),X,,,,
73,Quick Status Check,HIDDEN ASSETS (Fix),Files Exist + Unmentioned in Robots,Page,EXEC(flags yes/no)-DIY(shows what is not mentioned from the AI-ready file tree),X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X,
74,Quick Status Check,TOTAL AI BLINDNESS(Fix),Files Exist + Blanket Disallow Active,Page,EXEC(flags yes/no as very critical)-DIY(shows what is disallowed - per bot),X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X,
75,Quick Status Check,Optimized HandShake/Hidden Assets/Total AI Blindness,UserFiles Exist + Listed in Robots.txt,page,EXEC-DIY,,X,X,X,,,,
76,Readability analysis,Token Load Analysis (per page),"* Low Volume: < 500 words, Data Starvation: The page lacks enough dense, descriptive text nodes to build multi-dimensional vector embeddings, making it difficult for an LLM to match highly specific intents.
* Ideal Volume: 500 – 1,200 words, The Semantic Sweet Spot: Long enough to establish complete factual context and distinct entities, but concise enough to guarantee fast ingestion without hitting bot fetch limits.
* Medium Volume: 1,201 – 2,500 words, Boundary Territory: Perfectly fine for deeply informative pages, but approaches the threshold where fast-moving chat-scrapers may selectively extract the top half of the file.
* High volume: > 2,500 words, Truncation & Attention Risk: Triggers risk of ""loss in the middle."" Severe risk that an inbound scraper's fetch utility truncates the text data block mid-way to conserve its execution runtime.",Page,"EXEC-DIY (for both show as red, yellow, green)",,(Upto 3 pages) Upgrade to AIV Pro hook,X (upto 40 pages),X,,,,
77,Readability analysis,Token Load Optimization (per page),,Page,offered as upgrade when reviewing Token Load page Analysis per page only for heavy pages,X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X (shows content count without headless browser),X (Headless browser),X (Headless browser),
78,Readability analysis,Syntactic Complexity: Flesch Score: Optimization (Per page),,Page,offered as upgrade when reviewing flesch score (per page),X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,?,?,?,
79,Readability analysis,Syntactic Complexity: Flesch Score: (Per page),"* Too simple: > 75, Semantic Dilution: The phrasing is overly basic or conversational. While easy to tokenize, it often lacks the dense technical descriptors or specific terminology needed for entity mapping.
* Ideal: 50 – 75, Optimal Tokenization: Clear, punchy sentence logic. The distance between grammatical subjects and action verbs is tight, ensuring highly accurate latent-space processing.
* Good: 35 – 49, Balanced Density: Standard professional or technical copy. Well within the capabilities of standard foundation models without straining parser utilities.
* Risk: 15 – 34, Parse Tree Stretching: Sentences contain heavy nesting and structural dependency loops. Smaller edge models or quick RAG pipelines may scramble the exact causal relationships of your facts.
* Critical Risk: < 15, Syntactic Blockage: Wall-to-wall academic or corporate jargon with endless sentence lengths. High risk of model confusion and mischaracterization during automated analysis.",Page,DIY,,X (upto 3 pages),X (upto 40 pages),X,,,,
80,Readability analysis,Vector Layout: No. of Words/Paragraph(per page),"* Ideal: 30 – 60 words, Atomic Vector Isolation: Each paragraph represents a single, clean, high-signal concept. When converted to a vector coordinate, it maps to a precise location in latent space, ensuring highly accurate prompt retrieval.
* Low Dilution: 61 – 90 words, Acceptable Density: The paragraph introduces minor secondary context elements, but remains stable as long as the content centers tightly around one primary topic entity.
* High Dilution: > 90 words, Vector Blurring / Wall of Text: The paragraph crams multiple distinct facts, prices, or product features into one massive string block. The resulting vector coordinate is mathematically muddled, causing the page to lose out to competitors on precise questions.",Page,DIY,,X (upto 3 pages),X(upto 40 pages),X,,,,
81,README.md,README.md creation,"creates a README.md file based on input from the stack, github or directly from the user",Site,offered as upgrade when reviewing README.md,X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X (Headless browser),X (Headless browser),
82,README.md,README.md Updates,"monitors and notifies users about updates that needs to be made to the README.md file based on changes to the stack, github or directly from the User",Site,offered as upgrade when reviewing README.md.,X (should include email notifications),Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X (Headless browser),X (Headless browser),
83,README.md,README.md simple sample,,Site,DIY,,Upgrade to AIV Pro hook,X,X,,,,
84,README.md,README.md check,"Audits this file to ensure an AI tool can immediately understand the underlying engineering stack and directory mapping of the site.  Feeds vector databases verified corporate facts regarding ownership, explicit market categorization, and core offerings. This structural isolation is exactly what prevents answer models from triggering ""brand mashups"" where your company's products are accidentally blended with data from direct competitors.",Site,EXEC-DIY,,X,X,X,,,,
85,Robots.txt,Robots.txt ai-context.md addition based on providers,,Site,EXEC(Exists)-DIY(shows contents),,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X,X,
86,Robots.txt,Robots.txt creation/modification,,Site,DIY,,Upgrade to AIVIsualize Pro,X,X,X,X,X,
87,Robots.txt,Robots.txt addition based on providers,,Site,DIY,,Upgrade to AIVIsualize Pro,X,X,X,X,X,
88,Robots.txt,Robots.txt file availability and existence,,Site,EXEC-DIY,,X,X,X,X,X,X,
89,Robots.txt,Robots.txt AI-bot and User-Agent status,,Site,EXEC-DIY,,X,X,X,X,X,X,
90,Robots.txt,Robots.txt references a sitemap.xml,,Site,EXEC-DIY,,X,X,X,X,X,X,
91,Robots.txt,The explicit * Disallow,Check robots.txt for Useragent: * ; Disallow: /.  This needs to be immediately updated.,Site,EXEC-DIY,,X,X,X,,,,
92,robots.txt/ai-context.md,ai-context.md mention in robots.txt,,Site,EXEC-DIY,,X,X,X,,,,
93,Site-level EEAT,Site Structure: Missing Pages(Fix),,Site,upgrade when looking at Sitemap.xml availability(97),X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X (listing of other potential key pages without headless or templates to fill in),X (listing of other potential key pages with headless and suggestions to fix or templates to fill in),X (listing of other potential key pages with headless and suggestions to fix or templates to fill in),
94,Site-level EEAT,Trust Signals: has Organization Schema (view and Optimize),,Site,upgrade when looking at hasOrganizationSchema availability(98),X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X(present Organization schema - upgrade for suggestions),X,X,
95,Site-level EEAT,Trust Signals: has Author Bios,checking for Author and experience markers,Site,upgrade when looking at AuthorityStatus(101),X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X(shows what is listed as Author and experience markers),X (Headless browser) - hidden  Author and experience markers,X (Headless browser) - hidden  Author and experience markers,
96,Site-level EEAT,Domain Age: Age Estimate,Checks provider for age since when the domain is available,Site,EXEC-DIY,,X,X,X,,,,
97,Site-level EEAT,Site Structure: sitemap.xml availability,Checks if the sitemap.xml (or sitemap_index.xml) is referenced in robots.txt and is accessible,Site,EXEC(flag)-DIY(contents),,X,X,X,X,,,
98,Site-level EEAT,Trust Signals: has Organization Schema,,Site,EXEC(flag)-DIY(contents),,X,X,X,,,,
99,Site-level EEAT,Trust Signals: has Email Visible To AI,looks for mailto in the aherfs (mention fix),Site,EXEC-DIY(contents),,X,X,X,,,,
100,Site-level EEAT,Trust Signals: has Phone Visible To AI,looks for tel: in the aherfs(mention Fix),Site,EXEC-DIY(contents),,X,X,X,,,,
101,Site-level EEAT,Authority Metrics: Authority Status,"Optimized Anchor, Information Isolation or Abstention Risk",Site,Exec-DIY,,X ( Upgrade to AIO Pro hook),X ( Upgrade to AIO Pro hook),X ( Upgrade to AIO Pro hook),,,,
102,Site-level EEAT,Authority Metrics: Diagnostic Summary,,Site,Exec-DIY,,X ( Upgrade to AIO Pro hook),X ( Upgrade to AIO Pro hook),X ( Upgrade to AIO Pro hook),,,,
103,Site-level EEAT,Site Structure: Key pages found,"If your core entity hubs (like your primary service definitions, product indices, or about pages) are buried under unlinked dynamic pathways, the scraper's token budget will run out before it discovers your core brand narrative.",Site,DIY,,X (pages mapped against essential pages),X (pages mapped against essential pages),X (pages mapped against essential pages),X (listing of other potential key pages without headless),X (listing of other potential key pages with headless and suggestions to fix),X (listing of other potential key pages with headless and suggestions to fix),
104,Site-level EEAT,Site Structure: Missing Pages,The system isolates which labels in the essentialEntityNodes library returned a count of zero during the initial sitemap parsing phase.,Site,DIY,,X (pages missing against essential pages),X (pages missing against essential pages),X (pages missing against essential pages),,,,
105,sitemap.xml,sitemap.xml  creation and maintenance,"with product pages, services pages, FAQs, essential pages etc.",Site,offered as upgrade when reviewing docs.md,should inlude email notifications,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X (Headless browser),X (Headless browser),
106,sitemap.xml,Sitemap.xml simple sample,,Site,DIY,,Upgrade to AIV Pro hook,X,X,,,,
107,sitemap.xml,sitemap.xml check and structure,,Site,EXEC(flag)-DIY(contents),,X,X,X,,,,
108,Sitemap.xml/about.md,about.md mention in sitemap.xml,,Site,EXEC(flag)-DIY(contents),,X,X,X,,,,
109,Sitemap.xml/ai-context.md,ai-context.md mention in sitemap.xml,,Site,EXEC(flag)-DIY(contents),,X,X,X,,,,
110,Sitemap.xml/docs.md,docs.md mention in Sitemap.xml,,Site,EXEC(flag)-DIY(contents),,X,X,X,,,,X
111,Sitemap.xml/README.md,README.md mention in Sitemap.xml,,Site,EXEC(flag)-DIY(contents),,X,X,X,,,,
112,X-Robots-Tag Headers,X-Robots-Tag Headers fix,,Page,Upgrade from Headerscheck,X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X,Upgrade to AIV Pro hook
113,X-Robots-Tag Headers,X-Robots-Tag Headers monitoring,,Page,Upgrade from Headerscheck,X,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,Upgrade to AIO Pro hook,X,X,Upgrade to AIV Pro hook
114,X-Robots-Tag Headers,X-Robots-Tag Headers check,,Page,EXEC(homepage)-DIY(per page),,X,X,X,,,,X
